Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Desvio Padrão temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Desvio Padrão Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
QUADRADO,28,2025-05-26 14:25:17/14:34:10,250.0,0.2281521739130429,2.8311986081880964,19.370000000000005,0.0011956521739127,0.0122108212955907,8.695652173913043,95.68255159474673,101.0989010989011,69.5,20.76953601729289,31.89130434782609,4.25675035146603,NOK
QUADRADO,29,2025-05-28 10:23:15/10:42:56,100.0,-1.6306201550387582,5.21725978003809,4.289999999999992,7.751937984456058e-05,0.0118252988883345,20.930232558139537,43.46011854360711,100.78125,68.55813953488372,30.87371125264386,31.89147286821705,5.085580580913181,OK
RETANGULO,30,2025-05-29 13:14:59/13:35:31,192.61744966442956,-0.0051333333333326,0.054695455397714,0.1599999999999966,-0.0012000000000003,0.0115810537244728,0.0,74.44675324675323,100.67114093959732,67.45333333333333,2.6737266722074224,29.093333333333334,3.900347027524993,OK
RETANGULO,31,2025-05-30 10:27:29/10:47:43,195.5759493670886,-0.0052830188679229,0.0826216887021407,0.3100000000000023,-0.0003773584905662,0.0114121183898004,0.0,79.15749588138385,100.63291139240506,68.0251572327044,3.280069630193676,29.28930817610063,3.745623457846598,OK
RETANGULO,32,2025-05-30 13:07:06/13:27:34,200.0,0.0103048780487823,0.1627615357572878,1.3199999999999932,-0.000548780487805,0.012197407387225,0.0,82.69837133550489,100.61349693251532,67.76219512195122,3.948849028363887,29.76829268292683,4.105357207769101,OK
L,33,2025-06-02 09:27:38/10:04:21,150.0,-0.0046919431279602,0.0615998985892526,0.1899999999999977,0.0005687203791469,0.0130076449232755,0.0,65.20335905583295,100.47619047619048,67.93364928909952,2.812447747702882,28.28909952606635,4.48986420884384,OK
L,34,2025-06-02 14:35:16/15:05:27,199.77777777777777,0.0138222222222225,0.1487344362939611,1.1699999999999875,-0.0001777777777778,0.0141410131874721,0.0,83.57725013804527,100.44642857142858,67.75555555555556,3.957111340198828,31.16,5.167826290755967,OK
L,35,2025-06-03 09:00:26/09:34:32,175.109649122807,-0.3528508771929815,3.078147682987476,2.280000000000001,0.001798245614035,0.0124813021915807,2.1929824561403506,74.04868035190616,100.44052863436124,68.97368421052632,10.035584727166489,29.37280701754386,5.510627059432018,OK
QUADRADO,36,2025-06-03 11:33:44/11:45:38,174.0095238095238,-0.1217142857142857,0.8638625882792769,1.0699999999999932,0.0013333333333332,0.0130874768875459,2.857142857142857,71.89159663865546,100.96153846153844,68.72380952380952,11.786967410347785,33.03809523809524,5.274984158787387,OK
QUADRADO,37,2025-06-03 12:36:21/12:47:06,199.73737373737373,-0.1038383838383827,0.7289616700971536,1.3100000000000025,0.0003030303030302,0.0126535100764244,2.0202020202020203,79.78511627906977,101.0204081632653,68.84848484848484,9.117558342553677,32.74747474747475,4.6210331788099,OK
QUADRADO,38,2025-06-03 13:42:49/13:53:26,200.0,-0.0087368421052636,3.0595508786335546,14.28,-0.0029473684210527,0.0130362574751562,5.263157894736842,80.54034536891679,101.06382978723406,67.15789473684211,14.479123481665331,32.8421052631579,5.043039841193567,OK
L,39,2025-06-03 15:41:10/16:27:17,124.89082969432314,0.0018340611353724,0.0898153489383969,0.7199999999999989,0.000305676855895,0.0108171814721015,0.0,54.71123960968558,100.43859649122804,67.77729257641921,3.3584417866324605,30.716157205240176,4.399237482941614,OK
QUADRADO,40,2025-06-04 07:14:04/07:30:03,125.0,-0.0096521739130428,0.0947288877074228,0.5500000000000114,-0.0008695652173916,0.010725049984859,0.0,53.31303441084463,100.87719298245614,67.76521739130435,3.419065314931124,32.947826086956525,5.499351601749463,OK
RETANGULO,41,2025-06-04 08:56:26/09:19:33,172.00598802395209,-0.0022155688622753,0.0844643019882788,0.5300000000000011,0.0005988023952095,0.0119083143376519,0.0,73.16496034607066,100.60240963855422,67.8622754491018,3.41491443147162,30.91616766467066,5.12072704463879,OK
RETANGULO,42,2025-06-04 11:09:17/11:28:53,209.7826086956522,0.0077639751552798,0.1907549971667823,1.4799999999999898,-0.000496894409938,0.0113908539098271,0.0,86.32704081632653,100.625,67.71428571428571,4.8649621933635965,31.16770186335404,4.75031054885457,OK
QUADRADO,43,2025-06-04 13:19:47/13:30:02,210.0,0.0182653061224509,0.2808162825712226,1.7299999999999898,0.0026530612244895,0.0108932042002705,0.0,83.49951219512195,101.03092783505154,67.3265306122449,6.719375753719373,32.13265306122449,5.696151269098675,OK
L,44,2025-06-04 15:36:16/17:29:30,50.62256809338521,-0.0029961089494151,0.0705667070299492,0.5600000000000023,0.0003112840466923,0.0115202093616134,0.0,22.287430085369444,100.390625,66.10505836575875,3.2859569953799426,29.186770428015564,4.677503933162118,OK
RETANGULO,45,2025-06-05 08:34:20/09:00:31,149.4047619047619,0.0007142857142869,0.0748057078466128,0.5600000000000023,-0.0004761904761906,0.0127062398650589,0.0,64.61018459579886,100.59880239520956,67.79166666666667,3.2973481754312752,31.785714285714285,5.321004426750207,OK
QUADRADO,46,2025-06-05 10:33:47/10:44:23,199.50980392156865,-0.0436274509803914,0.5725551367209252,1.3199999999999932,0.0005882352941175,0.0107926936609418,0.9803921568627452,80.62264150943396,100.990099009901,68.01960784313725,7.524192522258921,31.735294117647054,5.174052686218709,OK
RETANGULO,47,2025-06-05 13:32:56/13:53:19,200.0,0.0083435582822105,0.1532901058377671,1.1399999999999864,0.0001226993865031,0.0110547308492702,0.0,82.96974652493869,100.61728395061728,67.49079754601227,4.250443837622616,30.92638036809816,4.884541352552704,OK
L,48,2025-06-05 15:29:05/15:59:17,200.0,0.0018918918918923,0.1366404504315691,1.1599999999999966,0.0018468468468468,0.0118326935678847,0.0,83.55993377483443,100.4524886877828,67.48198198198199,4.16809033604691,28.69369369369369,4.980128462957744,OK
L,49,2025-06-06 07:24:44/07:54:54,200.0,-0.0029090909090896,0.1248549511276476,1.1999999999999886,-0.0009545454545455,0.0109167763850759,0.0,83.61082872928176,100.4566210045662,68.75454545454545,3.7003920898911535,30.918181818181814,4.907606281971487,OK
QUADRADO,50,2025-06-11 09:56:08/10:06:46,200.0,-0.0124509803921558,0.1052054686914807,0.4900000000000091,0.0008823529411762,0.0144949934119614,0.0,80.4601880877743,100.990099009901,67.20588235294117,3.83660905171808,30.166666666666668,4.880925357269288,OK
RETANGULO,51,2025-06-11 11:48:51/12:09:22,200.0,-0.1196932515337401,1.077165589774239,2.4000000000000057,0.0012269938650306,0.0109866926316082,2.4539877300613497,82.55970755483347,100.61728395061728,67.8036809815951,11.420611049199827,30.030674846625768,4.834831585003872,NOK
QUADRADO,52,2025-06-11 13:25:15/13:35:53,200.0,-0.1067676767676772,0.7480421087716692,1.879999999999996,-0.0011111111111109,0.0140617362478412,2.0202020202020203,80.46112852664577,101.0204081632653,67.13131313131314,13.90833435694662,30.67676767676768,5.430128127981097,OK
QUADRADO,53,2025-06-11 14:24:21/14:35:02,200.0,0.5863725490196079,3.251515652438239,20.22,0.0015686274509801,0.011582258371688,3.92156862745098,80.12574102964118,100.990099009901,65.31372549019608,15.041184643779047,29.95098039215686,4.979915007784795,NOK
L,54,2025-06-11 14:46:01/15:13:19,200.0,-0.0051485148514839,0.0469913480209729,0.2299999999999897,0.0007425742574256,0.0117580529959535,0.0,83.4047619047619,100.49751243781095,68.18316831683168,3.019194624479137,26.99009900990099,4.071488169029387,NOK
QUADRADO,55,2025-06-11 15:19:38/15:33:09,150.0,0.0019090909090909,0.1319750842105321,1.0900000000000034,0.0012727272727273,0.0116610455500108,0.0,63.296670776818736,100.91743119266054,66.58181818181818,3.762152951306497,28.4,4.0141949962464345,NOK
RETANGULO,56,2025-06-11 15:46:38/16:24:55,101.12359550561796,-0.0018994413407816,0.0662881939911429,0.3899999999999863,0.0005027932960894,0.0125989897497955,0.0,44.17274706138441,100.561797752809,66.23463687150839,3.3571533984062456,28.033519553072622,4.492064715509272,NOK
RETANGULO,57,2025-06-12 09:51:23/10:17:34,149.70238095238096,-0.0197619047619033,0.5348422481408417,2.5999999999999943,8.425799740458777e-17,0.0124775247046235,2.380952380952381,64.61018459579886,100.59880239520956,66.6547619047619,9.86919728411544,29.821428571428573,4.966138548077344,NOK
RETANGULO,58,2025-06-12 10:55:13/11:32:02,100.0,-0.0022155688622747,0.0619405194434258,0.2599999999999909,0.0008383233532934,0.01121601553141,0.0,44.22399275690357,100.60240963855422,66.60479041916167,3.4430969595233214,28.11377245508982,3.6741020732006,NOK
L,59,2025-06-12 11:56:09/12:50:40,100.0,0.0157918552036211,0.3383649618206731,2.030000000000001,0.0013574660633484,0.0115193039919546,0.904977375565611,44.124487924182205,100.45454545454548,66.1131221719457,7.914937530822612,28.04524886877828,4.914518154181833,NOK
QUADRADO,60,2025-06-12 12:59:02/13:09:58,190.29126213592232,0.3783495145631079,2.7084758383338023,16.169999999999987,-0.0005825242718446,0.013344988243256,5.825242718446602,78.20762195121951,100.98039215686272,62.80582524271845,13.93124450926778,29.135922330097088,5.154568778086668,NOK
RETANGULO,61,2025-06-12 16:12:14/16:32:37,200.0,-0.0414723926380364,0.7091546289867788,2.180000000000007,0.0003680981595088,0.0117530962850902,1.8404907975460123,82.72641046606705,100.61728395061728,64.33742331288343,11.140084922707372,28.153374233128837,4.411800704684029,NOK
L,62,2025-06-12 17:35:07/18:05:31,200.0,-0.0214150943396215,0.5225809784261062,2.4399999999999977,-0.0006132075471701,0.0138064280342786,1.4150943396226416,83.08026315789473,100.4739336492891,64.39150943396227,8.238881554846634,28.19811320754717,4.557000367271533,NOK
QUADRADO,63,2025-06-12 19:07:41/19:21:25,150.47169811320754,-0.1580188679245277,1.2019796526376378,1.710000000000008,-0.0007547169811321,0.0151624921439179,3.7735849056603774,62.45970873786408,100.95238095238096,64.28301886792453,13.081251372338478,28.42452830188679,4.871585472254088,NOK
RETANGULO,64,2025-06-12 19:31:01/20:08:00,100.0,0.0003614457831333,0.0478494047493462,0.1999999999999886,0.000722891566265,0.0101841388895428,0.0,44.01523208652546,100.6060606060606,64.86144578313252,3.0726686190504275,28.08433734939759,3.596984660676498,NOK
