Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,d1,d2,d3,d4,d5,d6,d7,Resultado
QUADRADO,1,2025-04-29 10:45:07/11:13:32,100.0,-0.0017499999999989752,0.8499999999999943,0.0016499999999997409,0.0,47.31061583577712,100.50251256281406,18.577817727536996,19.87966467973981,1.0932000878891313,145.63,75.16,144.94,74.71,69.79,3.670594819870247,33.44,3.7142128216382693,49.2,49.4,12.1,,,,,OK
L,2,2025-04-29 12:25:51/13:44:45,100.0,-0.0004044943820212732,0.6100000000000136,0.000269662921348149,0.0,48.600126742712284,100.22522522522523,34.36422997527667,33.44078035457225,1.1235125245195545,169.8,50.26,170.19,50.52,69.88764044943821,3.0932875680318404,32.60674157303371,4.14766290843217,98.8,99.4,49.2,49.2,49.4,49.4,12.2,OK
QUADRADO,5,2025-05-07 09:23:20/09:49:37,100.0,-0.005240641711228675,0.0800000000000125,-0.0009090909090908791,0.0,47.70932149651235,100.53763440860214,18.950408303116056,18.46979218499517,1.0926385003882206,143.85,75.16,144.89,75.62,69.8288770053476,2.1484228576128963,34.3903743315508,3.8047103473016795,49.2,49.5,11.9,,,,,OK
QUADRADO,6,2025-05-07 13:52:32/14:20:52,100.0,-0.0007954545454530076,0.5600000000000023,0.0005681818181817046,0.0,47.38658823529411,100.57142857142858,19.71782612257244,18.21490064177157,1.1088123984989233,145.1,75.45,145.63,75.11,69.95454545454545,2.7188614882350652,34.85227272727273,4.33204609585625,49.2,49.4,11.9,,,,,OK
QUADRADO,7,2025-05-08 10:27:17/10:55:40,100.0,-0.0004864864864849728,0.2800000000000011,0.0009729729729728935,0.0,47.31227246036406,100.54347826086956,19.359152467039156,19.362886185677045,1.1024542645413482,143.85,75.11,145.29,74.81,69.8108108108108,2.449909468578445,34.627027027027026,4.398162205661479,49.2,49.3,11.9,,,,,OK
RETANGULO,8,2025-05-12 09:03:02/09:57:02,100.0,-0.006478405315613536,1.3199999999999932,-0.0004983388704321241,0.0,47.98481481481481,100.33333333333334,19.170664104631967,35.23083083148071,1.1013954704288942,144.55,74.37,170.16,50.52,70.2358803986711,3.183421896688296,34.04318936877076,3.7764350641868494,98.9,49.4,11.9,,,,,OK
RETANGULO,9,2025-05-12 13:14:28/14:06:49,100.0,-0.006405228758169215,0.4300000000000068,0.00029411764705855587,0.0,48.35587392550143,100.327868852459,19.29698461312318,35.06381865167856,1.1220215641610973,142.09,75.16,169.74,50.9,69.97712418300654,2.591815535128721,32.6437908496732,4.061887311726151,99.0,49.3,11.9,,,,,OK
RETANGULO,10,2025-05-13 08:58:31/09:52:22,100.0,-0.007278287461772726,0.4000000000000057,6.116207951053911e-05,0.0,48.054038997214484,100.30674846625767,19.4389865028274,35.63304732783189,1.1171824643267885,144.84,74.75,170.53,50.52,69.85321100917432,2.675126353555246,33.39755351681957,4.0261103497678175,99.5,50.2,12.0,,,,,OK
RETANGULO,12,2025-05-13 12:52:50/13:46:47,100.0,-0.007184466019416546,0.9300000000000068,-9.708737864119381e-05,0.0,48.00240963855421,100.32467532467533,19.14343785563019,35.801723465904146,1.118328107704979,144.55,74.77,169.45,49.8,69.7799352750809,2.8711708541497774,33.30744336569579,4.34165600709654,98.8,49.5,12.0,,,,,OK
RETANGULO,13,2025-05-14 09:07:32/09:57:40,100.0,-0.007615894039734661,0.1299999999999954,0.0008278145695363757,0.0,48.47872340425532,100.33222591362126,18.607981015905086,35.037345663855746,1.0981814550408504,143.85,75.11,169.52,54.37,70.03973509933775,2.325307237805902,32.84437086092715,3.8066585440045855,99.2,49.8,12.0,,,,,OK
RETANGULO,14,2025-05-14 11:37:22/12:16:59,100.0,-0.030033222591362006,2.3499999999999943,0.001196013289036518,0.9966777408637874,65.5315103071098,100.33333333333334,19.259942974240232,35.31011670537933,1.1257092264250443,145.59,75.16,170.19,49.85,69.9734219269103,7.551994742100767,33.08970099667774,4.81476135548783,98.7,49.3,12.3,,,,,OK
QUADRADO,15,2025-05-14 13:46:36/14:04:02,100.0,-0.07120481927710771,1.1500000000000057,-0.001686746987951812,1.2048192771084338,77.23766730401529,100.60606060606061,18.806786791267513,18.859686706540415,1.151478564396372,145.63,74.77,135.84,74.81,70.00602409638554,11.339123469919645,35.903614457831324,4.2686012408617735,49.4,49.6,12.0,,,,,OK
L,16,2025-05-14 15:32:50/16:12:10,200.0,-0.007005347593581987,0.3000000000000113,0.00040106951871645937,0.0,90.99203389830508,100.26809651474531,32.19373678630858,33.19566695243735,1.1292932715387756,169.61,61.0,161.51,50.9,71.1951871657754,2.9302670032240004,31.941176470588236,3.860401110704777,98.9,99.3,49.4,49.4,49.6,49.6,12.1,OK
RETANGULO,17,2025-05-15 09:04:56/09:35:41,200.0,-0.006996466431094764,0.2299999999999897,-0.0006360424028268031,0.0,78.92845528455285,100.35460992907801,18.372334373810045,35.08988735489692,1.1209916632605108,138.37,78.57,169.79,50.9,71.25795053003533,2.2910321710730215,33.57597173144876,3.626692125373713,98.9,49.4,12.3,,,,,OK
